genes,old_line_id,line_id,fastq_prefix,donor_accession,taxa,hpc1,gpat15,nrg11,ipt6,tcptf9,nlp15,gdsl
"nlp15, tcptf9, gpat15",CIM10003_P3_P3_P3.2.1.1,Zd.0010_P3_P3_P3.2.1.1,Zd0010_P3_P3_P3211,Zd.0010,Zdip,Recurrent,Donor,Recurrent,Recurrent,Donor,Donor,Recurrent
"nlp15, aaap69, gpat15, ipt6",CIM10003_P3_P3_P3.4.1.1,Zd.0010_P3_P3_P3.4.1.1,Zd0010_P3_P3_P3411,Zd.0010,Zdip,Recurrent,Donor,Recurrent,Donor,Recurrent,Donor,Recurrent
"hpc1, ipt6",CIM10003_P3_P4_P2.3.1.1,Zd.0010_P3_P4_P2.3.1.1,Zd0010_P3_P4_P2311,Zd.0010,Zdip,Donor,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent
hpc1,JSG-RMM-LCL-551_P2_P3_P1.2.1.1,Zd.0020_P2_P3_P1.2.1.1,Zd0020_P2_P3_P1211,Zd.0020,Zdip,Donor,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent
"tcptf9, ipt6",JSG-RMM-LCL-551_P3_P4_P2.1.1.1,Zd.0020_P3_P4_P2.1.1.1,Zd0020_P3_P4_P2111,Zd.0020,Zdip,Recurrent,Recurrent,Recurrent,Donor,Donor,Recurrent,Recurrent
"gdsl, aaap69, nlp15, ipt6",JSG-RMM-LCL-551_P3_P4_P3.2.1.1,Zd.0020_P3_P4_P3.2.1.1,Zd0020_P3_P4_P3211,Zd.0020,Zdip,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Donor,Donor
"hpc1, aaap69, ipt6",JLVTKV-719_P2_P5_P5.2.1.1,Zd.0030_P2_P5_P5.2.1.1,Zd0030_P2_P5_P5211,Zd.0030,Zdip,Donor,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent
"gdsl, nrg11, hpc1",JLVTKV-720_P1_P4_P3.1.1.1,Zd.0040_P1_P4_P3.1.1.1,Zd0040_P1_P4_P3111,Zd.0040,Zdip,Donor,Recurrent,Donor,Recurrent,Recurrent,Recurrent,Donor
"gdsl, aaap69, tcptf9",H1_P3_P2_P4.1.1.1,Zh.0020_P3_P2_P4.1.1.1,Zh0020_P3_P2_P4111,Zh.0020,Hueh,Recurrent,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Donor
hpc1,H1_P3_P5_P1.2.1.1,Zh.0020_P3_P5_P1.2.1.1,Zh0020_P3_P5_P1211,Zh.0020,Hueh,Donor,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent
"gpat15, hpc1, ipt6",H2_P4_P1_P2.2.1.1,Zh.0030_P4_P1_P2.2.1.1,Zh0030_P4_P1_P2211,Zh.0030,Hueh,Donor,Donor,Recurrent,Donor,Recurrent,Recurrent,Recurrent
"gdsl, aaap69, tcptf9",H2_P4_P3_P1.1.1.1,Zh.0030_P4_P3_P1.1.1.1,Zh0030_P4_P3_P1111,Zh.0030,Hueh,Recurrent,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Donor
"gdsl, nrg11",G1_P1_P2_P1.4.1.1,Zl.0010_P1_P2_P1.4.1.1,Zl0010_P1_P2_P1411,Zl.0010,Zlux,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent,Donor
"nlp15, tcptf9, gpat15",G1_P1_P4_P1.4.1.1,Zl.0010_P1_P4_P1.4.1.1,Zl0010_P1_P4_P1411,Zl.0010,Zlux,Recurrent,Donor,Recurrent,Recurrent,Donor,Donor,Recurrent
"gdsl, nlp15, gpat15",G3_P3_P1_P1.4.1.1,Zl.0020_P3_P1_P1.4.1.1,Zl0020_P3_P1_P1411,Zl.0020,Zlux,Recurrent,Donor,Recurrent,Recurrent,Recurrent,Donor,Donor
"ipt6, nlp15, gpat15",G3_P3_P1_P2.4.1.1,Zl.0020_P3_P1_P2.4.1.1,Zl0020_P3_P1_P2411,Zl.0020,Zlux,Recurrent,Donor,Recurrent,Donor,Recurrent,Donor,Recurrent
"hpc1, tcptf9",G3_P3_P4_P3.5.1.1,Zl.0020_P3_P4_P3.5.1.1,Zl0020_P3_P4_P3511,Zl.0020,Zlux,Donor,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Recurrent
"hpc1, aaap69, tcptf9",G6_P4_P4_P2.4.1.1,Zl.0040_P4_P4_P2.4.1.1,Zl0040_P4_P4_P2411,Zl.0040,Zlux,Donor,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Recurrent
"gpat15, nlp15, hpc1",FAC-P87_P1_P5_P1.2.1.1,Zl.0050_P1_P5_P1.2.1.1,Zl0050_P1_P5_P1211,Zl.0050,Zlux,Donor,Donor,Recurrent,Recurrent,Recurrent,Donor,Recurrent
"nrg11, tcptf9",JSG-RMM-LCL-483_P3_P5_P1.2.1.1,Zv.0010_P3_P5_P1.2.1.1,Zv0010_P3_P5_P1211,Zv.0010,Bals,Recurrent,Recurrent,Donor,Recurrent,Donor,Recurrent,Recurrent
"hpc1, tcptf9, nrg11, ipt6",JSG-RMM-LCL-487_P1_P3_P1.1.1.1,Zv.0030_P1_P3_P1.1.1.1,Zv0030_P1_P3_P1111,Zv.0030,Bals,Donor,Recurrent,Donor,Donor,Donor,Recurrent,Recurrent
"hpc1, aaap69, ipt6",JLNCM-657_P4_P4_P1.2.1.1,Zv.0060_P4_P4_P1.2.1.1,Zv0060_P4_P4_P1211,Zv.0060,Bals,Donor,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent
"gdsl, nrg11",JLNCM-646_P2_P1_P1.2.1.1,Zv.0080_P2_P1_P1.2.1.1,Zv0080_P2_P1_P1211,Zv.0080,Bals,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent,Donor
"gpat15, hpc1, nrg11, nlp15",JLHNM-661_P2_P3_P2.1.1.1,Zv.0120_P2_P3_P2.1.1.1,Zv0120_P2_P3_P2111,Zv.0120,Bals,Donor,Donor,Donor,Recurrent,Recurrent,Donor,Recurrent
"hpc1, ipt6",JLHNM-664_P3_P3_P1.1.1.1,Zv.0140_P3_P3_P1.1.1.1,Zv0140_P3_P3_P1111,Zv.0140,Bals,Donor,Recurrent,Recurrent,Donor,Recurrent,Recurrent,Recurrent
"hpc1, tcptf9, ipt6",JSG-RMM-LCL-495_P4_P1_P1.1.1.1,Zv.0150_P4_P1_P1.1.1.1,Zv0150_P4_P1_P1111,Zv.0150,Bals,Donor,Recurrent,Recurrent,Donor,Donor,Recurrent,Recurrent
"nlp15, tcptf9, ipt6",JSG-LCL-674_P3_P4_P1.1.1.1,Zv.0190_P3_P4_P1.1.1.1,Zv0190_P3_P4_P1111,Zv.0190,Bals,Recurrent,Recurrent,Recurrent,Donor,Donor,Donor,Recurrent
"nrg11, aaap69, ipt6",DMA-2008-1_P3_P2_P1.1.1.1,Zv.0200_P3_P2_P1.1.1.1,Zv0200_P3_P2_P1111,Zv.0200,Bals,Recurrent,Recurrent,Donor,Donor,Recurrent,Recurrent,Recurrent
"nrg11, tcptf9, ipt6",JSGYRMM-458_P1_P4_P2.2.1.1,Zv.0210_P1_P4_P2.2.1.1,Zv0210_P1_P4_P2211,Zv.0210,Bals,Recurrent,Recurrent,Donor,Donor,Donor,Recurrent,Recurrent
"aaap69, gdsl, tcptf9",JSGYRMM-458_P1_P5_P1.1.1.1,Zv.0210_P1_P5_P1.1.1.1,Zv0210_P1_P5_P1111,Zv.0210,Bals,Recurrent,Recurrent,Recurrent,Recurrent,Donor,Recurrent,Donor
hpc1,JSGYRMM-457_P3_P1_P2.2.1.1,Zv.0220_P3_P1_P2.2.1.1,Zv0220_P3_P1_P2211,Zv.0220,Bals,Donor,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent,Recurrent
"nrg11, aaap69, ipt6",JSGYRMM-457_P3_P2_P1.1.1.1,Zv.0220_P3_P2_P1.1.1.1,Zv0220_P3_P2_P1111,Zv.0220,Bals,Recurrent,Recurrent,Donor,Donor,Recurrent,Recurrent,Recurrent
