donor_id,longitude,latitude,elevation,nitrogen_0-5cm_mean_1000,NHx_deposition1993
Zd.0010,-104.217,19.533,2250,597,363
Zd.0020,-104.278,19.591,1870,424,363
Zd.0030,-105.107,22.857,1392,454,157
Zd.0040,-105.105,22.87,1393,395,157
Zh.0010,-91.75,15.667,1300,531,344
Zh.0020,-91.792,15.673,1225,417,344
Zh.0030,-91.818,15.692,1025,324,344
Zl.0010,-89.875,14.247,878,198,540
Zl.0020,-89.662,14.526,895,234,540
Zl.0030,-89.825,14.53,1037,192,540
Zl.0040,-89.89,14.538,982,196,540
Zl.0050,-96.468,17.935,80,439,544
Zm.0010,-54.167,-29.333,274,396,1069
Zm.0020,-51.867,-23.917,339,294,716
Zm.0030,-61.48,-23.78,175,205,83
Zm.0040,-65.765,-23.534,3488,169,26
Zm.0050,-65.35,-23.2,2973,188,26
Zm.0060,-45.883,-23.183,594,,863
Zm.0070,-64.405,-22.538,559,209,83
Zm.0080,-64.127,-21.55,920,237,194
Zm.0090,-51.483,-21.533,373,202,392
Zm.0100,-66.216,-20.816,3937,223,68
Zm.0110,-64.767,-20.783,3100,323,194
Zm.0120,-63.292,-20.68,755,212,194
Zm.0130,-57.828,-18.965,120,200,183
Zm.0140,-59.591,-18.346,613,238,150
Zm.0150,-65.083,-18.183,2520,245,232
Zm.0160,-63.308,-17.898,516,228,146
Zm.0170,-70.051,-17.451,3206,229,77
Zm.0180,-68.15,-16.5,3929,,232
Zm.0190,-65.195,-14.39,149,220,98
Zm.0200,-72.209,-13.42,3326,368,185
Zm.0210,-39.109,-12.651,201,282,243
Zm.0220,-74.865,-12.635,3263,350,185
Zm.0230,-73.095,-12.624,751,346,185
Zm.0240,-70.25,-12,234,306,185
Zm.0250,-36.6,-10.283,9,218,251
Zm.0260,-77.24,-9.385,3524,531,125
Zm.0270,-78.732,-8.597,14,322,125
Zm.0280,-77.773,-8.563,3412,433,125
Zm.0290,-76.472,-8.445,580,331,125
Zm.0300,-78.042,-7.804,3217,353,125
Zm.0310,-76.693,-7.174,269,310,269
Zm.0320,-78.65,-6.55,2391,411,269
Zm.0330,-79.431,-5.33,1978,489,269
Zm.0340,-80.711,-4.873,49,194,-5
Zm.0350,-79.71,-4.636,2641,403,269
Zm.0360,-38.694,-3.812,43,133,270
Zm.0370,-79.747,-2.761,2,383,460
Zm.0380,-80.44,-1.066,36,,2
Zm.0390,-78.458,-0.148,2890,,460
Zm.0400,-75.633,4.517,1535,453,155
Zm.0410,-74.92,5.32,840,377,834
Zm.0420,-75.15,8.317,30,393,66
Zm.0430,-74,10,27,372,341
Zm.0440,-61.749,12.03,71,701,11
Zm.0450,-61.63,12.2,63,615,11
Zm.0460,-92.08,14.86,233,340,134
Zm.0470,-92.9,15.421,35,432,344
