fastq_prefix,fastq_sample ,fastq_file
Zx0160_P2_P4_P1111,S1,Zx0160_P2_P4_P1111_S1_L001_R1_001.fastq.gz
Zx0160_P2_P4_P1111,S1,Zx0160_P2_P4_P1111_S1_L001_R2_001.fastq.gz
Zx0160_P2_P5_P1211,S2,Zx0160_P2_P5_P1211_S2_L001_R1_001.fastq.gz
Zx0160_P2_P5_P1211,S2,Zx0160_P2_P5_P1211_S2_L001_R2_001.fastq.gz
Zx0370_P2_P4_P1311,S3,Zx0370_P2_P4_P1311_S3_L001_R1_001.fastq.gz
Zx0370_P2_P4_P1311,S3,Zx0370_P2_P4_P1311_S3_L001_R2_001.fastq.gz
Zx0220_P2_P4_P1111,S4,Zx0220_P2_P4_P1111_S4_L001_R1_001.fastq.gz
Zx0220_P2_P4_P1111,S4,Zx0220_P2_P4_P1111_S4_L001_R2_001.fastq.gz
Zx0190_P2_P4_P1111,S5,Zx0190_P2_P4_P1111_S5_L001_R1_001.fastq.gz
Zx0190_P2_P4_P1111,S5,Zx0190_P2_P4_P1111_S5_L001_R2_001.fastq.gz
Zx0190_P2_P5_P1211,S6,Zx0190_P2_P5_P1211_S6_L001_R1_001.fastq.gz
Zx0190_P2_P5_P1211,S6,Zx0190_P2_P5_P1211_S6_L001_R2_001.fastq.gz
Zx0160_P2_P3_P2111,S7,Zx0160_P2_P3_P2111_S7_L001_R1_001.fastq.gz
Zx0160_P2_P3_P2111,S7,Zx0160_P2_P3_P2111_S7_L001_R2_001.fastq.gz
Zx0090_P2_P5_P1111,S8,Zx0090_P2_P5_P1111_S8_L001_R1_001.fastq.gz
Zx0090_P2_P5_P1111,S8,Zx0090_P2_P5_P1111_S8_L001_R2_001.fastq.gz
Zx0140_P2_P3_P1211,S9,Zx0140_P2_P3_P1211_S9_L001_R1_001.fastq.gz
Zx0140_P2_P3_P1211,S9,Zx0140_P2_P3_P1211_S9_L001_R2_001.fastq.gz
Zx0340_P2_P4_P2111,S10,Zx0340_P2_P4_P2111_S10_L001_R1_001.fastq.gz
Zx0340_P2_P4_P2111,S10,Zx0340_P2_P4_P2111_S10_L001_R2_001.fastq.gz
Zx0030_P2_P2_P1211,S11,Zx0030_P2_P2_P1211_S11_L001_R1_001.fastq.gz
Zx0030_P2_P2_P1211,S11,Zx0030_P2_P2_P1211_S11_L001_R2_001.fastq.gz
Zx0500_P2_P3_P1111,S12,Zx0500_P2_P3_P1111_S12_L001_R1_001.fastq.gz
Zx0500_P2_P3_P1111,S12,Zx0500_P2_P3_P1111_S12_L001_R2_001.fastq.gz
Zx0140_P2_P4_P1211,S13,Zx0140_P2_P4_P1211_S13_L001_R1_001.fastq.gz
Zx0140_P2_P4_P1211,S13,Zx0140_P2_P4_P1211_S13_L001_R2_001.fastq.gz
Zx0030_P2_P2_P2111,S14,Zx0030_P2_P2_P2111_S14_L001_R1_001.fastq.gz
Zx0030_P2_P2_P2111,S14,Zx0030_P2_P2_P2111_S14_L001_R2_001.fastq.gz
Zx0500_P2_P2_P1111,S15,Zx0500_P2_P2_P1111_S15_L001_R1_001.fastq.gz
Zx0500_P2_P2_P1111,S15,Zx0500_P2_P2_P1111_S15_L001_R2_001.fastq.gz
Zx0500_P2_P5_P1211,S16,Zx0500_P2_P5_P1211_S16_L001_R1_001.fastq.gz
Zx0500_P2_P5_P1211,S16,Zx0500_P2_P5_P1211_S16_L001_R2_001.fastq.gz
Zx0560_P2_P3_P2111,S17,Zx0560_P2_P3_P2111_S17_L001_R1_001.fastq.gz
Zx0560_P2_P3_P2111,S17,Zx0560_P2_P3_P2111_S17_L001_R2_001.fastq.gz
Zx0030_P2_P1_P2111,S18,Zx0030_P2_P1_P2111_S18_L001_R1_001.fastq.gz
Zx0030_P2_P1_P2111,S18,Zx0030_P2_P1_P2111_S18_L001_R2_001.fastq.gz
Zx0550_P4_P2_P4211,S19,Zx0550_P4_P2_P4211_S19_L001_R1_001.fastq.gz
